provinsi,kode_wilayah,2012,2013,2014,2015,2016,2017,2018
INDONESIA,1,47.99,50.94,51.49,56.92,58.3,59.59,62.41
ACEH,2,42.23,42.84,44.51,51.5,52.97,54.21,59.05
SUMATERA UTARA,3,44.43,45.55,46.85,52.87,54.28,55.55,59.45
SUMATERA BARAT,4,48.28,49.72,50.45,57.04,57.94,59.44,62.83
RIAU,5,54.21,55.99,57.57,62.1,62.98,63.64,67.74
JAMBI,6,49.79,51.79,52.3,58.68,58.49,60.08,64.29
SUMATERA SELATAN,7,45.15,47.53,49.03,53.66,56.48,57.01,61.12
BENGKULU,8,49.96,49.66,51.09,55.86,55.84,58.3,60.31
LAMPUNG,9,45.07,45.93,47.76,52.73,55.07,56.44,59.81
KEP. BANGKA BELITUNG,10,56.51,56.65,56.29,61.81,62.12,63.43,68.41
KEP. RIAU,11,68.67,69.76,69.46,74.17,73.77,73.35,74.11
DKI JAKARTA,12,70.6,70.77,71.87,76.93,75.78,76.99,76.16
JAWA BARAT,13,49.62,51.88,53.51,59.5,60.99,62.55,65.01
JAWA TENGAH,14,46.25,48.62,50.3,54.97,56.41,57.62,60.47
DI YOGYAKARTA,15,57.14,59.11,59.88,64.79,64.57,65.73,68.32
JAWA TIMUR,16,45.74,47.73,49.9,55.29,57.21,58.3,60.66
BANTEN,17,52.23,53.79,55.03,60.49,60.92,61.63,64.25
BALI,18,55.91,56.93,58.69,63.77,65.19,66.24,67.99
NUSA TENGGARA BARAT,19,34.46,37.09,40.38,45.26,47.79,48.96,53.88
NUSA TENGGARA TIMUR,20,28.46,31.1,32.66,36.65,37.96,40.97,43.91
KALIMANTAN BARAT,21,44.64,45.6,47.35,51.89,53.94,54.73,58.25
KALIMANTAN TENGAH,22,51.48,53.66,55.64,63.29,62.89,65.64,68.2
KALIMANTAN SELATAN,23,56.84,58.49,58.72,62.74,63.97,65.42,66.04
KALIMANTAN TIMUR,24,64.49,66.77,68.29,74.43,74.47,74.3,76.36
KALIMANTAN UTARA,25,,,,67.48,68.72,68.62,73.99
SULAWESI UTARA,26,48.88,51.39,51.66,59.45,61.78,61.95,64.64
SULAWESI TENGAH,27,40.11,44.14,44.39,50.64,51.08,53.49,56.66
SULAWESI SELATAN,28,44.94,47.12,49.75,56.21,58.5,60.3,63.85
SULAWESI TENGGARA,29,44.91,46.46,48.85,54.84,56.39,56.85,60.34
GORONTALO,30,42.09,43.46,45.21,51.34,52.93,55.36,58.5
SULAWESI BARAT,31,35.86,38.32,39.56,42.56,46.17,46.76,50.44
MALUKU,32,37.22,39.37,41.98,47.98,49.84,52.64,56.13
MALUKU UTARA,33,36.78,39.26,40.93,45.08,47.08,49.53,53.55
PAPUA BARAT,34,44.88,43.7,49.81,55.44,56.93,59.88,65.08
PAPUA,35,23.97,26.05,27.35,32.04,34.24,36.31,40.46
